$ loadtest -c 1000 http://localhost:3000/
[Wed Aug 10 2016 03:07:17 GMT+0300 (Беларусь (зима))] INFO Requests: 545312, requests per second: 2119, mean latency: 470 ms
[Wed Aug 10 2016 03:07:17 GMT+0300 (Беларусь (зима))] INFO Errors: 126, accumulated errors: 11258, 2.1% of total requests
[Wed Aug 10 2016 03:07:22 GMT+0300 (Беларусь (зима))] INFO Requests: 552915, requests per second: 1524, mean latency: 650 ms
[Wed Aug 10 2016 03:07:22 GMT+0300 (Беларусь (зима))] INFO Errors: 242, accumulated errors: 11500, 2.1% of total requests
[Wed Aug 10 2016 03:07:27 GMT+0300 (Беларусь (зима))] INFO Requests: 562640, requests per second: 1945, mean latency: 530 ms
[Wed Aug 10 2016 03:07:27 GMT+0300 (Беларусь (зима))] INFO Errors: 131, accumulated errors: 11631, 2.1% of total requests
[Wed Aug 10 2016 03:07:32 GMT+0300 (Беларусь (зима))] INFO Requests: 572301, requests per second: 1927, mean latency: 520 ms
[Wed Aug 10 2016 03:07:32 GMT+0300 (Беларусь (зима))] INFO Errors: 210, accumulated errors: 11841, 2.1% of total requests
[Wed Aug 10 2016 03:07:37 GMT+0300 (Беларусь (зима))] INFO Requests: 581759, requests per second: 1888, mean latency: 520 ms
[Wed Aug 10 2016 03:07:37 GMT+0300 (Беларусь (зима))] INFO Errors: 0, accumulated errors: 11841, 2% of total requests
[Wed Aug 10 2016 03:07:42 GMT+0300 (Беларусь (зима))] INFO Requests: 591816, requests per second: 2009, mean latency: 500 ms
[Wed Aug 10 2016 03:07:42 GMT+0300 (Беларусь (зима))] INFO Errors: 348, accumulated errors: 12189, 2.1% of total requests
[Wed Aug 10 2016 03:07:47 GMT+0300 (Беларусь (зима))] INFO Requests: 600736, requests per second: 1791, mean latency: 550 ms
[Wed Aug 10 2016 03:07:47 GMT+0300 (Беларусь (зима))] INFO Errors: 189, accumulated errors: 12378, 2.1% of total requests
[Wed Aug 10 2016 03:07:52 GMT+0300 (Беларусь (зима))] INFO Requests: 611072, requests per second: 2063, mean latency: 500 ms
[Wed Aug 10 2016 03:07:52 GMT+0300 (Беларусь (зима))] INFO Errors: 66, accumulated errors: 12444, 2% of total requests
[Wed Aug 10 2016 03:07:57 GMT+0300 (Беларусь (зима))] INFO Requests: 621769, requests per second: 2146, mean latency: 460 ms
[Wed Aug 10 2016 03:07:57 GMT+0300 (Беларусь (зима))] INFO Errors: 323, accumulated errors: 12767, 2.1% of total requests
[Wed Aug 10 2016 03:08:02 GMT+0300 (Беларусь (зима))] INFO Requests: 632247, requests per second: 2094, mean latency: 480 ms
[Wed Aug 10 2016 03:08:02 GMT+0300 (Беларусь (зима))] INFO Errors: 286, accumulated errors: 13053, 2.1% of total requests
